"M1" "M2" "trueCluster"
"1" 0.370613321004994 -1.89990589806475 "2"
"2" -2.70317241730287 3.07428496654634 "3"
"3" -1.05797251955408 -1.09807249424975 "1"
"4" -1.2507064689303 -1.5378710015927 "1"
"5" -2.71534954978748 2.49470377839322 "3"
"6" 0.711255042655676 -0.834757442206119 "2"
"7" 0.316618740662486 -1.85401523959069 "2"
"8" -4.42280862064864 1.48052662514775 "3"
"9" -2.16764683497842 -1.89061831831265 "1"
"10" -2.68791626853221 -1.24648896285921 "1"
"11" -1.69080226795524 -1.71686604917697 "1"
"12" 0.599485615523952 -1.29621277155021 "2"
"13" 0.129225116698776 -2.49040837197994 "2"
"14" 0.111267006911823 -2.40360493091842 "2"
"15" -0.956796118204883 -1.65937489624515 "1"
"16" 0.627457479896506 -1.15437912613037 "2"
"17" -2.57469701271281 -2.31806534791538 "1"
"18" -4.22523995097318 1.3119525374449 "3"
"19" 0.540819763663421 -1.29388278466504 "2"
"20" -3.23966587555971 2.53232507614726 "3"
"21" -1.4969934992764 -1.23702865933007 "1"
"22" -2.97456277307821 -1.48099496298231 "1"
"23" -3.04411748373998 2.897290889398 "3"
"24" 0.391882025562798 -1.85722827934227 "2"
"25" -0.458428889468673 -2.18963894027445 "1"
"26" -1.99697126805397 -1.64710718574436 "1"
"27" 0.716779905846386 -0.649073960861085 "2"
"28" 0.502291874014204 -1.52466278276801 "2"
"29" 0.265080908263744 -1.98516723286004 "2"
"30" -1.72449758133523 -1.45279990785852 "1"
"31" -2.45463378533918 -0.441330945315704 "1"
"32" -2.33081432448486 -0.966404646365133 "1"
"33" -2.75832508725379 -0.510633344827957 "1"
"34" -3.53446091580574 1.97754387086612 "3"
"35" -1.62371638688516 -2.64749887348842 "1"
"36" -2.31051470406056 -1.65400264500307 "1"
"37" -4.76332953150568 1.46039586451964 "3"
"38" -1.61846590472553 -1.51611290422092 "1"
"39" 0.532009964408642 -1.45054416689509 "2"
"40" -0.0122039215497427 -2.52815064692548 "2"
"41" -0.544536617064831 -1.68836255056664 "1"
"42" -1.65049947048948 -1.7008575478218 "1"
"43" 0.481906219476837 -1.65588250454756 "2"
"44" -4.57812113239349 -0.880871624807756 "1"
"45" 0.830507906956087 -0.655534577914089 "2"
"46" -3.20967575938033 -0.24483760859207 "1"
"47" 0.139794450725778 -2.48080826554148 "2"
"48" 0.22501493089146 -2.20360480791676 "2"
"49" -1.00751246959712 -1.2222998915742 "1"
"50" 0.646386012501266 -0.952838310126899 "2"
"51" 0.579035835365378 -0.990382109262177 "2"
"52" -1.58383278019941 -2.28138107602092 "1"
"53" -3.27190882599911 -0.930923571280026 "1"
"54" 0.139013899881527 -2.19979756031872 "2"
"55" -2.66908741964505 -1.3084854377557 "1"
"56" -2.33983120576427 -1.95779702943989 "1"
"57" 0.498666726015397 -1.39316186054052 "2"
"58" 0.276074814493132 -2.06997826418059 "2"
"59" -4.06338552112084 -1.51721114062782 "1"
"60" 0.517519434011975 -1.31027953757359 "2"
"61" -2.90444561971358 -0.975877361228045 "1"
"62" -3.326249225645 -1.48124296231617 "1"
"63" 0.566105659758483 -1.08675249212112 "2"
"64" -5.02960699780911 -0.327482870356187 "1"
"65" -3.19080712175165 -0.95312236958759 "1"
"66" -0.367909894488176 -2.47997494225189 "1"
"67" 0.375943992970074 -1.9000422119426 "2"
"68" 0.280623995894803 -1.92992365316129 "2"
"69" 0.893754346915107 -0.620028182309223 "2"
"70" 0.0366907192394297 -2.47860309543419 "2"
"71" -2.33877883751795 -0.878024991305231 "1"
"72" 0.119879417767611 -2.33639734402055 "2"
"73" -3.19734240095278 -1.11788850286602 "1"
"74" 0.557480906411296 -1.2977332297612 "2"
"75" -2.50672315878639 -0.373452443798016 "1"
"76" -4.61076258418927 1.80300492824427 "3"
"77" 0.405109645266863 -1.42059180842838 "2"
"78" -3.79819775790906 2.31464172477765 "3"
"79" 0.571586028142953 -1.16372761763633 "2"
"80" -0.0159914226059008 -2.59384616671856 "2"
"81" -1.75743020161702 -0.167223106356479 "1"
"82" -5.15594425281783 1.0501573513503 "3"
"83" 0.0964734302977356 -2.26383011497903 "2"
"84" -2.45616452986956 -2.54688634396851 "1"
"85" -3.27953434431967 2.63978837869198 "3"
"86" -2.56690900928982 -1.21637456763155 "1"
"87" -1.8586403405271 -2.43908306503262 "1"
"88" 0.282555637806157 -1.98803659121348 "2"
"89" -3.31720326806054 -2.013090279441 "1"
"90" 0.825009963492853 -0.689728861495853 "2"
"91" -2.69612507277753 -0.985636602020829 "1"
"92" -0.582053775473506 -1.96488240334061 "1"
"93" -3.13887373054375 -1.26996106412543 "1"
"94" 0.794058488921346 -0.863187033349401 "2"
"95" 0.588426812945669 -1.18712898540161 "2"
"96" 0.0996600662815124 -2.31826120405835 "2"
"97" 1.39799881467874 0.620157494706195 "2"
"98" -3.7456048958519 -1.57424755327709 "1"
"99" 0.496595722168738 -1.30782122203817 "2"
"100" -3.00344370768924 -0.850624839348397 "1"
"101" 0.153404288045915 -2.23015849503619 "2"
"102" 0.665784001166879 -1.15703089991007 "2"
"103" -3.41948618614689 -0.442284363988473 "1"
"104" -4.73799326838931 -0.730957547160277 "1"
"105" -2.39935049988026 -0.269903355295524 "1"
"106" 0.418346949267419 -1.59094143676683 "2"
"107" -2.32504138002832 -1.74560070840031 "1"
"108" -3.25664210214719 -1.18695943781357 "1"
"109" 0.652152563764772 -1.23880676947562 "2"
"110" -1.15420422477279 -2.56429028589987 "1"
"111" -0.945805448339788 -1.36764780330737 "1"
"112" -3.02240105699542 0.0600529841909616 "1"
"113" -3.02441788771821 2.92066697581499 "3"
"114" 0.625911006061628 -1.1216781054788 "2"
"115" -3.68448156173551 2.84623316540771 "3"
"116" -2.23982303137362 -2.11348294507138 "1"
"117" -1.95786565739722 -2.09845741651095 "1"
"118" -2.75160149220434 -2.13045986693103 "1"
"119" -0.727040390305938 -1.71260477479433 "1"
"120" 0.276514195721322 -1.96906312640468 "2"
"121" 0.511787894963308 -1.41073838474274 "2"
"122" -2.36806007646485 -0.951069500928473 "1"
"123" -3.29068353824563 2.09459154864932 "3"
"124" 0.209006029256617 -2.09675565830156 "2"
"125" -2.29818722223008 -1.00679335325996 "1"
"126" -1.89944246690141 -0.421768931355929 "1"
"127" -3.11003914690966 2.9232459193023 "3"
"128" -1.29800665162241 -1.29490900761668 "1"
"129" -1.88167868029581 -1.59335840417381 "1"
"130" 0.321323656241556 -1.72533821146527 "2"
"131" 0.771177214021722 -0.720228177344726 "2"
"132" -1.49457606900961 -2.23606743673562 "1"
"133" 0.398424734222632 -1.87754137984407 "2"
"134" 0.334799533715654 -1.82251177718255 "2"
"135" 0.236309701730518 -2.04680096177189 "2"
"136" -1.63600888687874 -2.06994281175156 "1"
"137" 0.383055636840877 -1.72959943162212 "2"
"138" 0.300663716755753 -1.75685624435283 "2"
"139" -0.855501807622091 -2.25293126498081 "1"
"140" -4.00744780787678 2.19592912810575 "3"
"141" -4.95662818222855 1.65644576597545 "3"
"142" 0.395077842255128 -2.07698206349295 "2"
"143" 0.359029746995734 -1.92315003462492 "2"
"144" 0.662152350282054 -0.990348577552642 "2"
"145" -2.57290447417055 -0.803323238677895 "1"
"146" -1.48174626682862 -1.86971336073514 "1"
"147" 0.360074267716534 -1.6834181865089 "2"
"148" -2.3639374197652 -1.41443709934773 "1"
"149" -3.55418626955012 -1.60918560513947 "1"
"150" 0.419115296029335 -1.48944510548093 "2"
"151" -2.17462006609447 -0.580573536696251 "1"
"152" -0.605821418953411 -0.380284957571598 "1"
"153" -3.0760376231452 2.37446600705315 "3"
"154" 1.01239153974208 0.0151407277809839 "2"
"155" -2.40059334541356 -1.44690721733322 "1"
"156" -4.11166934390515 2.05681723750112 "3"
"157" 0.39227556711036 -1.538050091643 "2"
"158" -2.22610900407998 3.30487945794099 "3"
"159" 0.427913537151904 -1.70828906083149 "2"
"160" 0.0360663436383865 -2.51399662232068 "2"
"161" 0.245139967084157 -1.88189393872978 "2"
"162" 0.00456712761076195 -2.66236087919758 "2"
"163" -1.33185787939081 -2.27548170023127 "1"
"164" 0.810462135134766 -0.697266431259255 "2"
